Entity,Code,Year,continent,plasticWasteGen,perCapitaplasticwaste,gdpPercap2007,pop2010
United States,USA,2010,North America,37825550,0.335,42951,309349689,
China,CHN,2010,Asia,59079741,0.121,4959,1339724852,
India,IND,2010,Asia,4493080,0.01,2452,1182105564,
Germany,DEU,2010,Europe,14476561,0.485,32170,81802257,
Nigeria,NGA,2010,Africa,5961750,0.103,2013,158258917,
Brazil,BRA,2010,South America,11852055,0.165,9065,193252604,
Japan,JPN,2010,Asia,7993489,0.171,31656,128056000,
Russia,RUS,2010,Europe,5839685,0.112,8562,142849472,
Kenya,KEN,2010,Africa,407506,0.027,1463,40862900,
Bangladesh,BGD,2010,Asia,1888170,0.034,1391,148600000,
Denmark,DNK,2010,Europe,95171,0.047,35278,5534738,
Kuwait,KWT,2010,Asia,750690,0.686,47306,3566437,
Netherlands,NLD,2010,Europe,2571398,0.424,36797,16574989,	
Iceland,ISL,2010,Europe,32620,0.281,36180,317630,
Mexico,MEX,2010,North America,3725463,0.087,11977,112336538,
New Zealand,NZL,2010,Oceania,525630,0.331,25185,4367800,
Canada,CAN,2010,North America,1154309,0.093,36319,34108752,
Argentina,ARG,2010,South America,2753550,0.183,12779,40518951,
Australia,AUS,2010,Oceania,900658,0.112,34435,22299800,
Israel,ISR,2010,Asia,826436,0.297,25523,7623600,
